Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Akita,Dog,12,Large,White,Independent,No,Medium,Moderate
Alaskan Malamute,Dog,14,Large,Gray,Playful,No,High,Moderate
Australian Shepherd,Dog,13,Medium,Blue Merle,Intelligent,Yes,Medium,Easy
Beagle,Dog,15,Medium,Tri-color,Friendly,Yes,Low,Easy
Border Collie,Dog,14,Medium,Black and White,Intelligent,Yes,High,Easy
Basset Hound,Dog,12,Medium,Tricolor,Calm,Yes,Low,Moderate
Boxer,Dog,10,Large,Fawn,Playful,No,Medium,Moderate
Bulldog (English, French),Dog,10,Medium,Fawn,Friendly,Yes,Low,Moderate
Cairn Terrier,Dog,12,Small,Gray,Spirited,Yes,Medium,Easy
Chihuahua,Dog,15,Small,Fawn,Alert,Yes,Low,Easy
Chow Chow,Dog,12,Large,Red,Independent,No,High,Moderate
Cocker Spaniel,Dog,13,Medium,Golden,Affectionate,Yes,Medium,Moderate
Dalmatian,Dog,12,Large,White with Black Spots,Active,No,Medium,Moderate
Doberman Pinscher,Dog,10,Large,Black and Tan,Confident,No,Low,Easy
German Shepherd,Dog,13,Large,Black and Tan,Intelligent,Yes,High,Easy
Golden Retriever,Dog,12,Large,Golden,Friendly,Yes,Medium,Easy
Great Dane,Dog,7,Large,Merle,Friendly,No,Low,Moderate
Greyhound,Dog,10,Large,Brindle,Affectionate,Yes,Low,Easy
Havanese,Dog,14,Small,White,Friendly,Yes,Medium,Moderate
Husky (Siberian),Dog,12,Large,Gray,Playful,No,High,Moderate
Irish Setter,Dog,12,Large,Red,Affectionate,Yes,Medium,Easy
Jack Russell Terrier,Dog,13,Small,White with Tan,Active,Yes,Low,Easy
King Charles Spaniel,Dog,12,Small,Blenheim,Affectionate,Yes,High,Moderate
Labrador Retriever,Dog,12,Large,Yellow,Friendly,Yes,Medium,Easy
Maltese,Dog,15,Small,White,Playful,Yes,High,Easy
Miniature Schnauzer,Dog,12,Small,Silver,Spirited,Yes,Medium,Easy
Newfoundland,Dog,9,Large,Black,Calm,No,High,Moderate
Poodle (Standard, Miniature, Toy),Dog,12,Small/Medium/Standard,White,Intelligent,Yes,High,Easy
Pug,Dog,13,Small,Fawn,Playful,Yes,Low,Easy
Rottweiler,Dog,10,Large,Black,Confident,No,Medium,Moderate
Saint Bernard,Dog,8,Large,Tricolor,Affectionate,No,High,Moderate
Samoyed,Dog,12,Large,White,Playful,No,High,Moderate
Shih Tzu,Dog,14,Small,Gold,Affectionate,Yes,Medium,Moderate
Siberian Husky,Dog,12,Large,Gray,Playful,No,High,Moderate
Staffordshire Bull Terrier,Dog,12,Medium,Blue,Friendly,Yes,Low,Easy
Yorkshire Terrier,Dog,15,Small,Blue and Tan,Affectionate,Yes,High,Easy
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Abyssinian,Cat,14,Medium,Red,Active,Yes,Medium,Moderate
American Bobtail,Cat,13,Medium,Tabby,Playful,Yes,Low,Moderate
American Curl,Cat,13,Medium,Black,Affectionate,Yes,Medium,Easy
American Shorthair,Cat,15,Medium,Silver Tabby,Friendly,Yes,Low,Easy
Balinese,Cat,15,Medium,Blue Point,Affectionate,Yes,High,Moderate
Bengal,Cat,16,Large,Spotted,Active,No,High,Moderate
Birman,Cat,16,Medium,Seal Point,Affectionate,Yes,Medium,Moderate
British Shorthair,Cat,14,Medium,Blue,Friendly,Yes,Low,Easy
Burmese,Cat,16,Medium,Sable,Affectionate,Yes,Low,Easy
Cornish Rex,Cat,14,Medium,White,Playful,Yes,High,Moderate
Devon Rex,Cat,14,Small,Gray,Playful,Yes,Medium,Easy
Egyptian Mau,Cat,14,Medium,Silver Spotted,Active,Yes,Medium,Moderate
Exotic Shorthair,Cat,14,Medium,Silver Tabby,Calm,Yes,Medium,Easy
Himalayan,Cat,15,Medium,Blue Point,Calm,No,High,Moderate
Japanese Bobtail,Cat,16,Medium,White,Playful,Yes,Medium,Easy
Maine Coon,Cat,13,Large,Black,Playful,Yes,High,Easy
Manx,Cat,12,Medium,Gray,Affectionate,Yes,Low,Moderate
Norwegian Forest Cat,Cat,16,Large,Tabby,Playful,No,High,Moderate
Persian,Cat,15,Medium,White,Calm,No,High,Moderate
Ragdoll,Cat,15,Large,Blue,Affectionate,Yes,Medium,Easy
Russian Blue,Cat,15,Medium,Blue,Calm,Yes,Low,Moderate
Scottish Fold,Cat,14,Medium,Gray,Affectionate,Yes,Medium,Easy
Siamese,Cat,20,Small,Seal Point,Talkative,Yes,Medium,Easy
Sphynx,Cat,14,Medium,Pink,Affectionate,Yes,High,Easy
Somali,Cat,12,Medium,Red,Active,Yes,Medium,Moderate
Turkish Angora,Cat,15,Medium,White,Playful,Yes,Medium,Easy
Turkish Van,Cat,14,Large,White and Tan,Active,No,Medium,Moderate
Bengal,Cat,16,Large,Spotted,Active,No,High,Moderate
LaPerm,Cat,15,Medium,Curly,Affectionate,Yes,Medium,Easy
Singapura,Cat,12,Small,Sable,Playful,Yes,Low,Moderate
Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
African Grey Parrot,Bird,50,Medium,Gray,Intelligent,Yes,Medium,Easy
American Robin,Bird,2,Medium,Red,Social,Yes,Low,Moderate
Blue Jay,Bird,7,Medium,Blue,Playful,Yes,Low,Moderate
Budgerigar (Budgie),Bird,10,Small,Green,Friendly,Yes,Low,Easy
Canary,Bird,15,Small,Yellow,Cheerful,Yes,Low,Moderate
Cockatiel,Bird,7,Small,Gray,Playful,Yes,Medium,Moderate
Cockatoo,Bird,40,Large,White,Affectionate,No,High,Moderate
Common Raven,Bird,15,Large,Black,Intelligent,No,Low,Easy
Condor (Andean and California),Bird,60,Large,Black and White,Majestic,No,Low,Difficult
Conure,Bird,20,Small,Green,Playful,Yes,Low,Moderate
Crows,Bird,10,Medium,Black,Intelligent,No,Low,Moderate
Diamond Dove,Bird,15,Small,Gray,Calm,Yes,Low,Easy
Eagle (Bald, Golden),Bird,20,Large,Golden,Majestic,No,Low,Moderate
Flamingo,Bird,20,Large,Pink,Graceful,No,Medium,Difficult
Gouldian Finch,Bird,6,Small,Colorful,Social,Yes,Low,Moderate
Harpy Eagle,Bird,35,Large,Gray and Black,Majestic,No,Low,Difficult
Hummingbird,Bird,5,Small,Various,Delicate,Yes,Low,Difficult
Kingfisher,Bird,10,Small,Blue,Alert,Yes,Low,Moderate
Lovebird,Bird,15,Small,Green,Affectionate,Yes,Low,Easy
Macaw,Bird,50,Large,Multicolor,Playful,No,High,Moderate
Magpie,Bird,15,Medium,Black and White,Curious,Yes,Low,Moderate
Nightingale,Bird,5,Small,Brown,Melodic,Yes,Low,Moderate
Ostrich,Bird,40,Large,Gray,Curious,No,Low,Difficult
Parakeet,Bird,15,Small,Green,Friendly,Yes,Low,Easy
Parrot (various species),Bird,50,Medium,Various,Talkative,Yes,Medium,Moderate
Peacock,Bird,15,Large,Blue and Green,Majestic,No,Medium,Moderate
Pigeon,Bird,10,Medium,Gray,Social,Yes,Low,Moderate
